Card Name,Type,Attribute,Sub Type,ATK,DEF,Card Text
Divine Serpent Geh,Effect Monster,DARK,Reptile,?,0,"Cannot be Normal Summoned/Set. Must be Special Summoned by its own effect. If a monster(s) you control is destroyed by your opponent's attack or card effect: You can pay half your LP; Special Summon this card from your hand. Cannot be targeted by card effects. If this card attacks an opponent's monster, during the Damge Step only, negate the effects of that monster while it is face-up on the field (but its effects can still be activated), also its ATK becomes hald its original ATK. Once per battle, if this card battles, during damage calculation (Quick Effect): You can make this card's ATK become equal to the highest original ATK on the field (your choice, if tied)"
Dystopia the Despondent,Effect Monster,DARK,Fiend,5000,5000,"Cannot be Normal Summoned/Set. Must be Special Summoned (from your hand or Graveyard) by sending 4 face-up Level 1 monsters you control to the Graveyard, and cannot be Special Summoned by other ways. Other monsters you control cannot attack. During either player's Battle Step, once per battle involving this card: You can banish 1 Level 1 monster from your Graveyard; until the end of the Damage Step, this card is unaffected by other cards' effects, also it cannot be destroyed by battle."
Flower Cardian Paulownia,Effect Monster,DARK,Warrior,100,100,"While you control a Level 11 or lower ""Flower Cardian"" monster: You can Special Summon this card from your hand, also you cannot Normal or Special Summon monsters for the rest of this turn, except ""Flower Cardian"" monsters. When this card is targeted for an attack: You can negate the attack, end the Battle Phase, then draw 1 card."
Flower Cardian Paulownia with Phoenix,Effect Monster,DARK,Warrior,2000,2000,"Cannot be Normal Summoned/Set. Must first be Special Summoned (from your hand) by Tributing 1 Level 12 ""Flower Cardian"" monster, except ""Flower Cardian Paulownia with Phoenix"". If this card is Special Summoned: Draw 1 card, and if you do, show it, then you can Special Summon it if it is a ""Flower Cardian"" monster. Otherwise, send it to the Graveyard. Once per turn, when this card inflicts battle damage to your opponent: You can draw 1 card."
Malefic Truth Dragon,Effect Monster,DARK,Dragon,5000,5000,"Cannot be Normal Summoned/Set. Must be Special Summoned by its own effect, and cannot be Special Summoned by other ways. If a face-up ""Malefic"" monster you control, except ""Malefic Truth Dragon"", is destroyed by battle or by card effect: You can pay half your Life Points; Special Summon this card from your hand or Graveyard. There can only be 1 face-up ""Malefic"" monster on the field. If there is no face-up Field Spell Card on the field, destroy this card. If this card destroys an opponent's monster by battle: Destroy all face-up monsters your opponent controls."
Meklord Astro Mekanikle,Effect Monster,LIGHT,Machine,4000,4000,"This card cannot be Normal Summoned or Set. This card cannot be Special Summoned except by sending 3 other ""Meklord"" monsters from your hand to the Graveyard. Once per turn, you can select 1 face-up Synchro Monster your opponent controls, and equip it to this card. This card gains ATK equal to those equipped monsters' combined ATK. Once per turn, during your Standby Phase, you can send 1 of those monsters to the Graveyard to inflict damage to your opponent equal to its ATK. You cannot conduct your Battle Phase the turn you activate this effect."
T.G. Halberd Cannon/Assault Mode,Effect Monster,EARTH,Machine,4500,4500,"Cannot be Normal Summoned/Set. Must be Special Summoned with ""Assault Mode Activate"". You can only use each of the following effects of ""T.G. Halberd Cannon/Assault Mode"" once per turn."
,,,,,,"When your opponent would Summon a monster (Quick Effect): You can negate the Summon, and if you do, banish that monster and all Special Summoned monsters your opponent controls."
,,,,,,"When this card on the field is destroyed: You can target 1 ""T.G. Halberd Cannon"" in your GY; Special Summon it, ignoring its Summoning conditions."
Yubel - The Ultimate Nightmare,Effect Monster,DARK,Fiend,0,0,"Cannot be Normal Summoned or Set. Must be Special Summoned by ""Yubel - Terror Incarnate"", and cannot be Special Summoned by other ways. This card cannot be destroyed by battle. You take no Battle Damage from battles involving this card. At the end of the Damage Step, if this face-up Attack Position card battles with an opponent's monster: Inflict damage equal to that monster's ATK to your opponent, also destroy that monster."
Subterror Behemoth Ultramafus,Flip/Effect Monster,EARTH,Pyro,3000,1800,"FLIP: You can change all other face-up monsters on the field to face-down Defense Position. You can only use this effect of ""Subterror Behemoth Ultramafus"" once per turn."
,,,,,,"When a face-up monster you control is flipped face-down, if you control no face-up monsters: You can Special Summon this card from your hand in Defense Position. Once per turn: You can change this card to face-down Defense Position."
Blue-Eyes Ultimate Dragon,Fusion Monster,LIGHT,Dragon,4500,3800,"Blue-Eyes White Dragon + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"""
Armityle the Chaos Phantom,Fusion/Effect Monster,DARK,Fiend,0,0,"Uria, Lord of Searing Flames + ""Hamon, Lord of Striking Thunder"" + ""Raviel, Lord of Phantasms"""
,,,,,,"Must first be Special Summoned (from your Extra Deck) by banishing the above cards you control. (You do not use ""Polymerization"".) This card cannot be destroyed by battle. This card gains 10,000 ATK during your turn only."
"Barbaroid, the Ultimate Battle Machine",Fusion/Effect Monster,EARTH,Machine,4000,4000,"5 Machine-Type ""roid"" monsters"
,,,,,,"This card can make a second attack during each Battle Phase. This card cannot attack your opponent directly. After damage calculation, if this card attacked an opponent's monster: Negate the effects of that monster (including in the Graveyard). If this card destroys an opponent's monster by battle: Inflict 1000 damage to your opponent."
Blue-Eyes Alternative Ultimate Dragon,Fusion/Effect Monster,LIGHT,Dragon,4500,3800,"""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"""
,,,,,,"Your opponent cannot target or destroy this card with card effects. Once per turn: You can target 1 card your opponent controls; destroy it. If this card was Fusion Summoned using a monster whose original name is ""Blue-Eyes Alternative White Dragon"" as material, you can target up to 3 cards your opponent controls instead. This card cannot attack the turn this effect is activated."
Dragon Master Knight,Fusion/Effect Monster,LIGHT,Dragon,5000,5000,"Black Luster Soldier + ""Blue-Eyes Ultimate Dragon"" This monster cannot be Special Summoned except by Fusion Summon. This card gains 500 ATK for each other Dragon-Type monster you control."
Elemental HERO Divine Neos,Fusion/Effect Monster,LIGHT,Warrior,2500,2500,"Must be Fusion Summoned using any 5 ""Neos"", ""Neo Space"", ""Neo-Spacian"", or ""HERO"" monsters, including at least 1 ""Neos"" or ""Neo Space"" monster, 1 ""Neo-Spacian"" monster, and 1 ""HERO"" monster, and cannot be Special Summoned by other ways."
,,,,,,"Once per turn: You can banish 1 ""Neos"", ""Neo Space"", ""Neo-Spacian"", or ""HERO"" monster from your Graveyard; this card gains 500 ATK, and until the End Phase it also gains the banished monster's effects"
Five-Headed Dragon,Fusion/Effect Monster,DARK,Dragon,5000,5000,"5 Dragon-Type monsters This monster cannot be Special Summoned except by Fusion Summon. This card cannot be destroyed by battle with an EARTH, WATER, FIRE, WIND, or DARK monster. (Damage calculation is applied normally. )"
Neo Blue-Eyes Ultimate Dragon,Fusion/Effect Monster,LIGHT,Dragon,4500,3800,"""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"" + ""Blue-Eyes White Dragon"""
,,,,,,"At the end of the Damage Step, if this is the only face-up card you control, and this Fusion Summoned card attacked: You can send 1 ""Blue-Eyes"" Fusion Monster from your Extra Deck to the Graveyard; this card can attack again in a row. You can use this effect of ""Neo Blue-Eyes Ultimate Dragon"" up to twice per turn. During either player's turn, when a card or effect is activated that targets a ""Blue-Eyes"" monster(s) you control: You can banish this card from your Graveyard; negate the activation, and if you do, destroy that card."
Quintet Magician,Fusion/Effect Monster,DARK,Spellcaster,4500,4500,5 Spellcaster monsters
,,,,,,"Must be Fusion Summoned. If this card is Fusion Summoned using 5 Spellcaster monsters with different names: You can destroy all cards your opponent controls. This face-up card on the field cannot be Tributed, nor used as Fusion Material, also it cannot be destroyed by card effects."
Rainbow Overdragon,Fusion/Effect Monster,LIGHT,Dragon,4000,0,"7 ""Crystal Beast"" monsters"
,,,,,,"(This card is always treated as an ""Ultimate Crystal"" card)"
,,,,,,"Must be either Fusion Summoned, or Special Summoned by Tributing 1 Level 10 ""Ultimate Crystal"" monster (in which case you do not use ""Polymerization""). Once per turn: You can banish 1 ""Crystal Beast"" monster from your GY; this card gains ATK equal to the banished monster's, until the end of this turn. (Quick Effect): You can Tribute this Fusion Summoned card; shuffle all cards on the field into the Deck."
Shura the Combat Star,Fusion/Effect Monster,DARK,Warrior,0,0,"""Idaten the Conqueror Star"" + 1 Level 5 or higher Warrior-Type monsters"
,,,,,,"Once per turn, during the Battle Phase (Quick Effect): You can change the ATK of all face-up monsters your opponent controls to 0. Once per battle, if a monster battles another monster, during damage calculation (Quick Effect): You can make each battling monster gain ATK equal to its own Level X 200, during that damage calculation only. If this Fusion Summoned card you control is destroyed by an opponent's card and sent to the GY: You can Special Summon 1 ""Idaten the Conqueror Star"" from your Extra Deck. (This is treated as a Fusion Summon.)"
Supreme King Z-ARC,Fusion/Pendulum/Effect Monster,DARK,Dragon,4000,4000,"4 Dragon-Type monsters (1 Fusion, 1 Synchro, 1 Xyz, and 1 Pendulum)"
,,,,,,"Must be Fusion Summoned and cannot be Special Summoned by other ways. If this card is Special Summoned: Destroy all cards your opponent controls. Cannot be destroyed by your opponent's card effects. Your opponent cannot target this card with card effects. When this card destroys an opponent's monster by battle: You can Special Summon 1 ""Supreme King Dragon"" monster from your Deck or Extra Deck. If this card in the Monster Zone is destroyed by battle or card effect: You can place this card in your Pendulum Zone."
,,,,,,
,,,,,,Pendulum Scale: 1
,,,,,,"Pendulum Effect: Fusion, Synchro, and Xyz Monsters your opponent controls cannot activate their effects. Once per turn, when your opponent adds a card(s) from their Deck to their hand (except during the Draw Phase or the Damage Step): You can destroy that card(s)."
Herald of Ultimateness,Ritual/Effect Monster,LIGHT,Fairy,2000,3000,"You can Ritual Summon this card with ""Oracle of the Herald"". Must be Ritual Summoned, and cannot be Special Summoned by other ways. During either player's turn, when your opponent would Special Summon a monster(s), OR activates a Spell Card, Trap Card, or monster effect: You can send 1 Fairy-Type monster from your hand to the Graveyard; negate the Special Summon or activation, and if you do, destroy that card."
Assault Blackwing - Onimaru the Divine Thunder,Synchro/Effect Monster,DARK,Winged Beast,3000,2000,1 Tuner + 1 or more non-Tuner monsters
,,,,,,"If this card is Synchro Summoned using a ""Blackwing"" monster as Material, it is treated as a Tuner while face-up on the field. Cannot be destroyed by card effects. You can target 1 ""Blackwing"" monster in your Graveyard; this card's Level becomes the same as that monster's. You can only use this effect of ""Assault Blackwing - Onimaru the Divine Thunder"" once per Duel. If this card that was Synchro Summoned using only Synchro Monsters attacks, this card gains 3000 ATK during the Damage Step only."
Battlewasp - Ballista the Armageddon,Synchro/Effect Monster,WIND,Insect,3000,800,1 Tuner + 1+ non-Tuner monsters
,,,,,,"If this card is Special Summoned: You can banish all Insect monsters from your GY; all monsters your opponent currently controls lose 500 ATK/DEF for each of your banished Insect monsters. If this card attacks a Defense Position monster, inflict piercing battle damage. If this Synchro Summoned card in its owner's control is destroyed by an opponent's card: You can Special Summon 3 of your banished Level 11 or lower Insect monsters."
Cosmic Blazar Dragon,Synchro/Effect Monster,WIND,Dragon,4000,4000,1 Tuner Synchro Monster + 2 or more non-Tuner Synchro Monsters
,,,,,,"Must be Synchro Summoned, and cannot be Special Summoned by other ways. You can banish this card until the End Phase to activate 1 of these Quick Effects;"
,,,,,,"When your opponet activates a card or effect: Negate the activation, and if you do, destroy that card."
,,,,,,"When your opponent would Summon a monster(s): Negate the Summon. and if you do, destroy that monster(s)."
,,,,,,"When an opponent's monster declares an attack: Negate the attack, then end the Battle Phase."
Geomathmech Final Sigma,Synchro/Effect Monster,FIRE,Cyberse,3000,0,1 Tuner + 1+ non-Tuner monsters
,,,,,,"Unaffected by card effects, except ""Mathmech"" cards, while in the Extra Monster Zone. If this card in the Extra Monster Zone battles an opponent's monster, any battle damage it inflicts to your opponent is doubled. If this card is destroyed by battle, or if this card in its owner's possession is destroyed by an opponent's card effect: You can add 1 ""Mathmech"" card from your Deck to your hand. You can only use this effect of ""Geomathmech Final Sigma"" once per turn."
Hot Red Dragon Archfiend King Calamity,Synchro/Effect Monster,DARK,Dragon,4000,3500,2 Tuners + 1 non-Tuner DARK Dragon-Type Synchro Monster
,,,,,,"When this card is Synchro Summoned: You can activate this effect; for the rest of this turn, your opponent cannot activate cards, also cards your opponent controls cannot activate their effects. Your opponent cannot activate cards or effects in response to this effect's activation. If this card destroys a monster by battle: Inflict damage to your opponent equal to that monster's original ATK. If this card in its owner's possession is destroyed by an opponent's card (by battle or card effect): You can target 1 Level 8 or lower DARK Dragon-Type Synchro Monster in your Graveyard; Special Summon it."
Red Nova Dragon,Synchro/Effect Monster,DARK,Dragon,3500,3000,"2 Tuners + ""Red Dragon Archfiend"""
,,,,,,"This card gains 500 ATK for each Tuner monster in your Graveyard. This card cannot be destroyed by the effects of your opponent's Spells, Traps, or monsters. When your opponent's monster declares an attack, you can select it, then remove this card from play and negate the attack. During the End Phase, Special Summon this card that was removed by this effect."
Shooting Quasar Dragon,Synchro/Effect Monster,LIGHT,Dragon,4000,4000,1 Tuner Synchro Monster + 2 or more non-Tuner Synchro Monsters
,,,,,,"Must be Synchro Summoned, and cannot be Special Summoned by other ways. This card's maximum number of attacks per turn equals the number of non-Tuner monsters used as its Synchro Material. Once per turn, when a card or effect is activated: You can negate the activation and destroy it. When this card leaves the field: You can Special Summon 1 ""Shooting Star Dragon"" from your Extra Deck."
Stardust Sifr Divine Dragon,Synchro/Effect Monster,LIGHT,Dragon,4000,4000,1 Tuner Synchro Monster + 2 or more non-Tuner Synchro Monsters
,,,,,,"Must be Synchro Summoned and cannot be Special Summoned by other ways. The first time each card you control would be destroyed each turn, by battle or card effect, it is not destroyed. Once per turn, during either player's turn, when your opponent activates a monster effect: You can negate that effect, and if you do, destroy 1 card on the field. You can banish this card from your Graveyard, then target 1 Level 8 or lower ""Stardust"" monster in your Graveyard; Special Summon it."
Superheavy Samurai Steam Train King,Synchro/Effect Monster,EARTH,Machine,2000,4800,"1 ""Superheavy Samurai"" Tuner + 2+ non-Tuner ""Superheavy Samurai"" monsters"
,,,,,,"This card can attack while in face-up Defense Position. If it does, apply its DEF for damage calculation. Once per turn: You can discard up to 2 cards, then target that many cards your opponent controls; destroy them. Once per turn: You can banish all Spells and Traps from the GYs, and if you do, inflict 200 damage to your opponent for each card banished."
T.G. Halberd Cannon,Synchro/Effect Monster,EARTH,Machine,4000,4000,1 Tuner Synchro Monster + 2 or more non-Tuner Synchro Monsters
,,,,,,"This card cannot be Special Summoned except by Synchro Summon. Once per turn, while this card is face-up on the field, you can negate the Summon of a monster and destroy it. When this card is sent from the field to the Graveyard, you can select 1 ""T.G."" monster in your Graveyard, and Special Summon it."
Number 77: The Seven Sins,Xyz/Effect Monster,DARK,Fiend,4000,3000,2 Level 12 monsters
,,,,,,"You can also Xyz Summon this card by using a Rank 10 or 11 DARK Xyz Monster you control as the Xyz Material. (Xyz Materials attached to that monster also become Xyz Materials on this card.) If Summoned this way, the following effect cannot be activated this turn. Once per turn: You can detach 2 Xyz Materials from this card; banish as many Special Summoned monsters your opponent controls as possible, then attach 1 of those banished monsters to this card as Xyz Material. If this face-up card on the field would be destroyed by battle or card effect, you can detach 1 Xyz Material from this card instead."
Number 93: Utopia Kaiser,Xyz/Effect Monster,LIGHT,Warrior,2500,2000,"2 or more ""Number"" Xyz Monsters, with the same Rank, that have Xyz Material"
,,,,,,"Once per turn: You can Special Summon Rank 9 or lower ""Number"" monsters with 3000 or less ATK that have different Ranks from each other from your Extra Deck, up to the number of Xyz Materials with different names attached to this card, but their effects are negated, then detach 1 Xyz Material from this card. For the rest of this turn, unless this effect was negated, you cannot Special Summon, and any battle damage your opponent takes becomes halved. While you control another ""Number"" Xyz Monster, this card cannot be destroyed by battle or card effects."
Raidraptor - Final Fortress Falcon,Xyz/Effect Monster,DARK,Winged Beast,3800,2800,3 Level 12 monsters
,,,,,,"If this card has a ""Raidraptor"" Xyz Monster as Xyz Material, it is unaffected by other cards' effects. Once per turn: You can detach 1 material from this card; return all your banished ""Raidraptor"" monsters to your GY. Up to twice per turn, when this attacking card destroys a monster by battle: You can banish 1 ""Raidraptor"" monster from your GY; this card can attack again in a row."
Super Quantal Mech King Great Magnus,Xyz/Effect Monster,LIGHT,Machine,3600,3200,3 Level 12 monsters
,,,,,,"If this card is sent to the Graveyard: You can Special Summon 3 ""Super Quantal Mech Beast"" Xyz Monsters with different names from your Graveyard. This card gains these effects, based on the number of Xyz Materials with different names attached to it."
,,,,,,"2 or more: Once per turn, during either player's Main Phase: You can detach 1 Xyz Material from this card; shuffle 1 card on the field into the Deck."
,,,,,,"4 or more: It isunaffected by card effects, except ""Super Quant"" cards."
,,,,,,6 or more: Your opponent cannot add cards from the Deck to the hand by card effects.
